station,ap1,rssi1,ocu1,con1,dis1,pow1,ap2,rssi2,ocu2,con2,dis2,pow2,ap3,rssi3,ocu3,con3,dis3,pow3,ap4,rssi4,ocu4,con4,dis4,pow4,associatedTo
sta1,0,-100.0,100.0,1.0,100,1000,1,-69.0,66.6666666667,0.0310,30.96,100,1,-72.0,46.6666666667,0.0310,31.01,100,0,-100.0,100.0,1.0,100,1000,3
sta2,0,-100.0,100.0,1.0,100,1000,1,-55.0,55.5555555556,0.0102,10.19,960,1,-76.0,60.0,0.0415,41.5,960,0,-100.0,100.0,1.0,100,1000,2
sta3,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-69.0,53.3333333333,0.0245,24.52,880,1,-76.0,45.0,0.0527,52.73,880,3
sta4,0,-100.0,100.0,1.0,100,1000,1,-74.0,66.6666666667,0.0461,46.11,960,1,-66.0,60.0,0.0186,18.55,960,1,-77.0,40.0,0.0560,56.03,960,3
sta5,1,-73.0,53.3333333333,0.0347,34.67,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-75.0,30.0,0.0478,47.79,100,4
sta6,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-56.0,30.0,0.0109,10.85,100,4
sta7,1,-70.0,40.0,0.0292,29.24,960,1,-70.0,66.6666666667,0.0321,32.07,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta8,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,60.0,0.0101,10.12,880,0,-100.0,100.0,1.0,100,1000,3
sta9,1,-75.0,53.3333333333,0.0411,41.09,100,1,-72.0,66.6666666667,0.0385,38.5,100,1,-76.0,66.6666666667,0.0407,40.7,100,1,-76.0,35.0,0.0515,51.5,100,4
sta10,1,-74.0,46.6666666667,0.0385,38.52,880,1,-72.0,66.6666666667,0.0389,38.88,880,1,-77.0,60.0,0.0434,43.4,880,1,-76.0,45.0,0.0513,51.26,880,1
sta11,1,-75.0,60.0,0.0411,41.09,880,1,-72.0,66.6666666667,0.0385,38.5,880,1,-76.0,60.0,0.0407,40.7,880,1,-76.0,35.0,0.0515,51.5,880,4
sta12,1,-74.0,60.0,0.0375,37.52,960,1,-68.0,55.5555555556,0.0289,28.91,960,1,-76.0,60.0,0.0425,42.52,960,0,-100.0,100.0,1.0,100,1000,2
sta13,1,-74.0,60.0,0.0375,37.52,880,1,-68.0,55.5555555556,0.0289,28.91,880,1,-76.0,60.0,0.0425,42.52,880,0,-100.0,100.0,1.0,100,1000,2
sta14,1,-50.0,46.6666666667,0.0059,5.89,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta15,1,-44.0,46.6666666667,0.0039,3.94,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta16,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-55.0,46.6666666667,0.0083,8.29,960,0,-100.0,100.0,1.0,100,1000,3
sta18,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,46.6666666667,0.0106,10.57,100,0,-100.0,100.0,1.0,100,1000,3
sta19,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-53.0,35.0,0.0088,8.81,100,4
sta20,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-70.0,35.0,0.0338,33.8,880,4
sta22,0,-100.0,100.0,1.0,100,1000,1,-50.0,55.5555555556,0.0073,7.35,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta24,0,-100.0,100.0,1.0,100,1000,1,-46.0,55.5555555556,0.0050,5.03,880,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,2
sta1,0,-100.0,100.0,1.0,100,1000,1,-69.0,66.6666666667,0.0306,30.59,100,1,-72.0,46.6666666667,0.0310,31.04,100,0,-100.0,100.0,1.0,100,1000,3
sta2,0,-100.0,100.0,1.0,100,1000,1,-54.0,55.5555555556,0.0096,9.6,960,1,-76.0,60.0,0.0418,41.83,960,0,-100.0,100.0,1.0,100,1000,2
sta3,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-69.0,46.6666666667,0.0240,24.02,880,1,-76.0,45.0,0.0531,53.06,880,3
sta4,0,-100.0,100.0,1.0,100,1000,1,-74.0,66.6666666667,0.0456,45.56,960,1,-65.0,46.6666666667,0.0183,18.26,960,1,-77.0,45.0,0.0566,56.58,960,3
sta5,1,-73.0,60.0,0.0343,34.34,100,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-75.0,35.0,0.0476,47.56,100,4
sta6,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-56.0,35.0,0.0116,11.64,100,4
sta7,1,-71.0,46.6666666667,0.0295,29.48,960,1,-70.0,66.6666666667,0.0322,32.19,960,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1
sta8,0,-100.0,100.0,1.0,100,1000,0,-100.0,100.0,1.0,100,1000,1,-58.0,46.6666666667,0.0102,10.21,880,0,-100.0,100.0,1.0,100,1000,3
sta9,1,-75.0,60.0,0.0420,41.99,100,1,-72.0,66.6666666667,0.0370,37.03,100,1,-75.0,60.0,0.0392,39.23,100,1,-76.0,35.0,0.0530,53.02,100,4
